employee_id,hours_logged,billable_hours
EMP0330,10.14,2.54
EMP0700,5.2,1.3
EMP0615,4.82,3.95
EMP0369,9.75,7.99
EMP0267,7.07,5.8
EMP0779,6.33,5.19
EMP0153,9.06,7.43
EMP0095,6.43,5.27
EMP0618,10.32,2.58
EMP0184,8.48,2.12
EMP0517,6.62,5.43
EMP0474,10.85,8.9
EMP0001,6.43,1.61
EMP0533,8.59,7.04
EMP0825,7.88,6.46
EMP0025,9.48,7.77
EMP0813,9.9,8.12
EMP0210,7.45,6.11
EMP0359,6.2 hrs,5.08
EMP0070,8.14,6.67
EMP0026,6.32,5.18
EMP0292,10.62,8.71
EMP0767,7.62,6.25
EMP0146,6.82,5.59
EMP0199,7.7,6.31
EMP0745,5.24,4.3
EMP0382,5.85,4.8
EMP0684,9.32,2.33
EMP0337,6.35,5.21
EMP0229,5.72,4.69
EMP0581,8.26,6.77
EMP0835,9.3,7.63
EMP0220,8.55,7.01
EMP0085,8.99,7.37
EMP0003,6.19,5.08
EMP0042,5.13,4.21
EMP0844,9.8,8.04
EMP0621,6.88,5.64
EMP0681,7.0,5.74
EMP0814,9.53,7.81
EMP0111,8.29,6.8
EMP0420,8.13,6.67
EMP0161,10.86,8.91
EMP0408,6.37,5.22
EMP0803,8.88,7.28
EMP0508,7.49,1.87
EMP0003,7.83,1.96
EMP0544,9.85,2.46
EMP0606,8.21,2.05
EMP0850,8.26,2.06
EMP0668,9.12,7.48
EMP0407,6.82,5.59
EMP0751,6.06,1.51
EMP0241,5.73,1.43
EMP0022,4.25,1.06
EMP0747,10.69,8.77
EMP0004,5.63,1.41
EMP0785,7.05,1.76
EMP0826,6.96,1.74
EMP0351,7.89,6.47
EMP0812,8.71,7.14
EMP0715,8.78,7.2
EMP0038,6.47,5.31
EMP0475,7.13,5.85
EMP0744,7.85,6.44
EMP0110,7.0,5.74
EMP0544,9.97,8.18
EMP0538,8.19,6.72
EMP0218,8.58,7.04
EMP0708,8.46,6.94
EMP0674,9.28,2.32
EMP0829,7.69,1.92
EMP0190,5.33,4.37
EMP0842,8.04,6.59
EMP0244,6.36,5.22
EMP0593,6.55,5.37
EMP0196,8.34,6.84
EMP0256,9.38,7.69
EMP0114,7.43,6.09
EMP0388,7.89,6.47
EMP0679,10.12,8.3
EMP0470,7.79,6.39
EMP0067,11.56,9.48
EMP0492,8.3,6.81
EMP0275,4.58,3.76
EMP0581,8.61,7.06
EMP0188,8.01,2.0
EMP0002,9.46,7.76
EMP0412,8.48,2.12
EMP0366,7.18,1.79
EMP0237,5.44,4.46
EMP0756,7.07,5.8
EMP0215,6.04,1.51
EMP0488,6.47,1.62
EMP0103,8.34,6.84
EMP0169,10.07,2.52
EMP0184,8.03,6.58
EMP0742,5.49,4.5
EMP0008,8.11,6.65
EMP0426,9.31,7.63
EMP0338,6.42,5.26
EMP0286,7.19,5.9
EMP0094,7.42,1.85
EMP0666,6.14,5.03
EMP0076,8.44,2.11
EMP0438,7.21,5.91
EMP0650,8.07,2.02
EMP0799,5.98,4.9
EMP0705,6.7,1.68
EMP0737,8.56,7.02
EMP0559,6.8,5.58
EMP0514,10.16,8.33
EMP0268,6.76,5.54
EMP0126,7.76,6.36
EMP0804,8.89,2.22
EMP0629,5.13,4.21
EMP0063,4.58,1.15
EMP0641,4.96,4.07
EMP0664,9.42,7.72
EMP0586,6.52,5.35
EMP0740,11.49,9.42
EMP0400,6.5,1.62
EMP0557,7.7,6.31
EMP0590,9.87,2.47
EMP0183,10.61,2.65
EMP0704,10.7,2.67
EMP0602,9.33,7.65
EMP0478,9.04,7.41
EMP0660,8.35,6.85
EMP0399,8.65,2.16
EMP0841,6.52,5.35
EMP0705,6.09,4.99
EMP0636,7.39,6.06
EMP0539,7.13,5.85
EMP0775,6.67,5.47
EMP0282,8.51,6.98
EMP0549,8.93,7.32
EMP0048,7.54,6.18
EMP0209,9.76,8.0
EMP0329,5.57,1.39
EMP0447,7.1 hrs,5.81
EMP0298,6.25,5.12
EMP0489,4.41,1.1
EMP0105,7.27,5.96
EMP0293,7.21,1.8
EMP0587,9.82,8.05
EMP0764,8.41,2.1
EMP0583,5.76,4.72
EMP0195,10.37,8.5
EMP0418,9.35,7.67
EMP0768,8.33,2.08
EMP0250,7.04,5.77
EMP0121,5.86,1.47
EMP0558,6.8,5.58
EMP0016,9.14,7.49
EMP0345,10.42,8.54
EMP0042,9.87,8.09
EMP0057,6.62,1.66
EMP0541,5.61,4.6
EMP0793,7.63,1.91
EMP0653,4.57,3.75
EMP0744,7.92,6.49
EMP0049,7.16,5.87
EMP0069,6.65,5.45
EMP0354,4.85,3.98
EMP0618,8.22,6.74
EMP0508,6.55,1.64
EMP0271,5.53,1.38
EMP0838,2.8,2.3
EMP0111,7.36,1.84
EMP0841,10.24,8.4
EMP0349,10.06,8.25
EMP0182,6.67,1.67
EMP0603,6.44,5.28
EMP0415,8.15,6.68
EMP0230,5.8,4.76
EMP0459,7.88,6.46
EMP0336,8.63,2.16
EMP0639,9.36,7.68
EMP0709,7.24,5.94
EMP0621,7.07,1.77
EMP0830,6.0,4.92
EMP0201,6.08,4.99
EMP0626,7.04,5.77
EMP0328,7.99,6.55
EMP0191,8.86,2.21
EMP0635,6.11,5.01
EMP0275,9.79,2.45
EMP0253,6.97,5.72
EMP0106,7.37,6.04
EMP0352,6.2,1.55
EMP0801,3.52,2.89
EMP0270,8.81,7.22
EMP0314,8.58,7.04
EMP0169,6.95,1.74
EMP0315,7.51,6.16
EMP0220,8.23,2.06
EMP0273,4.9,4.02
EMP0631,6.55,5.37
EMP0370,8.67,7.11
EMP0427,5.39,4.42
EMP0142,7.87,6.45
EMP0373,5.23,4.29
EMP0027,8.15,6.68
EMP0243,7.34,6.02
EMP0035,4.82,3.95
EMP0632,9.26,7.59
EMP0808,6.22,5.1
EMP0295,6.1,1.52
EMP0205,7.72,6.33
EMP0533,9.24,7.58
EMP0532,5.77,4.73
EMP0273,7.5,6.15
EMP0674,8.09,2.02
EMP0065,8.51,6.98
EMP0334,7.68,6.3
EMP0674,6.81,5.58
EMP0251,6.08,4.99
EMP0762,7.54,6.18
EMP0626,5.68,4.66
EMP0072,2.73,2.24
EMP0503,8.1,6.64
EMP0813,8.85,2.21
EMP0622,3.62,0.91
EMP0527,5.78,4.74
EMP0310,8.39,6.88
EMP0746,10.69,8.77
EMP0025,7.43,6.09
EMP0426,6.24,5.12
EMP0156,7.11,5.83
EMP0621,9.6,7.87
EMP0140,6.37,1.59
EMP0301,6.12,5.02
EMP0107,6.63,5.44
EMP0009,5.87,4.81
EMP0739,7.6,6.23
EMP0132,10.0,8.2
EMP0368,7.92,1.98
EMP0798,7.0,5.74
EMP0507,6.93,5.68
EMP0423,4.9,4.02
EMP0647,8.81,7.22
EMP0509,7.28,5.97
EMP0292,7.11,1.78
EMP0114,12.0,9.84
EMP0236,7.88,6.46
EMP0100,6.2,5.08
EMP0087,6.72,5.51
EMP0370,9.24,7.58
EMP0187,7.58,6.22
,5.1,4.18
EMP0404,8.87,7.27
EMP0273,6.33,5.19
EMP0603,10.4,8.53
EMP0841,9.13,7.49
EMP0804,6.68,5.48
EMP0542,9.45,7.75
EMP0768,7.51,6.16
EMP0273,8.76,7.18
EMP0297,8.18,2.04
EMP0143,6.05,4.96
EMP0163,6.37,5.22
EMP0701,9.05,7.42
EMP0023,6.86,5.63
EMP0312,6.75,5.53
EMP0451,5.87,4.81
EMP0328,8.08,6.63
EMP0685,10.7,2.67
EMP0517,5.69,1.42
EMP0045,7.44,6.1
EMP0046,9.66,7.92
EMP0741,7.27,5.96
,8.12,2.03
EMP0440,5.7,4.67
EMP0164,8.09,2.02
EMP0548,7.1,5.82
EMP0771,8.98,7.36
EMP0601,9.3,7.63
EMP0239,11.54,2.88
EMP0097,8.33,2.08
EMP0269,7.92,6.49
EMP0412,7.71,1.93
EMP0552,6.83,5.6
EMP0100,7.94,6.51
EMP0642,6.93,1.73
EMP0634,7.67,6.29
EMP0268,9.51,7.8
EMP0253,5.79,4.75
EMP0611,9.22,7.56
EMP0594,9.51,7.8
EMP0827,7.21,1.8
EMP0571,4.01,3.29
EMP0373,6.43,5.27
EMP0825,9.48,7.77
EMP0345,7.36,6.04
EMP0192,5.8,4.76
,6.59,5.4
EMP0835,8.74,2.19
EMP0603,8.27,6.78
EMP0455,7.02,5.76
EMP0114,6.81,5.58
EMP0603,6.77,5.55
EMP0131,5.92,1.48
EMP0440,9.98,8.18
EMP0199,6.88,5.64
EMP0449,9.35,7.67
EMP0552,9.8 hrs,8.06
EMP0803,9.0,7.38
EMP0559,6.71,5.5
EMP0071,8.05,6.6
EMP0687,7.4 hrs,6.04
EMP0618,5.95,4.88
,7.92,6.49
EMP0582,5.51,1.38
EMP0323,9.3,7.63
EMP0830,6.66,1.67
EMP0461,7.72,6.33
EMP0031,7.85,1.96
EMP0218,6.99,5.73
EMP0473,8.34,6.84
EMP0396,6.64,1.66
EMP0297,8.79,7.21
EMP0142,5.25,4.3
EMP0770,7.6,6.23
EMP0706,10.5,8.61
EMP0089,5.8,4.76
EMP0838,6.32,1.58
EMP0562,8.22,2.06
EMP0804,7.69,6.31
EMP0677,7.96,1.99
EMP0584,8.18,6.71
EMP0647,8.42,2.1
EMP0075,9.18,7.53
EMP0766,8.06,6.61
EMP0095,7.01,5.75
EMP0077,8.48,6.95
EMP0301,10.44,8.56
EMP0509,7.19,5.9
EMP0055,5.84,4.79
EMP0336,9.17,7.52
EMP0464,7.21,5.91
EMP0061,3.92,3.21
EMP0827,8.76,7.18
EMP0841,6.54,5.36
EMP0263,7.26,5.95
EMP0145,7.93,6.5
EMP0286,7.7,6.31
EMP0831,8.54,7.0
EMP0680,6.7,5.49
EMP0537,8.22,6.74
EMP0440,6.98,5.72
EMP0311,8.58,7.04
EMP0049,8.38,6.87
EMP0082,5.9,4.84
EMP0044,9.14,7.49
EMP0474,6.54,5.36
EMP0704,8.69,7.13
EMP0182,7.99,6.55
EMP0162,10.34,2.58
EMP0451,7.04,5.77
EMP0475,6.84,5.61
EMP0010,7.37,1.84
EMP0004,6.91,5.67
EMP0556,8.68,7.12
EMP0368,4.81,3.94
EMP0499,5.71,4.68
EMP0397,5.69,4.67
EMP0224,8.92,7.31
EMP0503,10.14,2.54
EMP0218,7.23,5.93
EMP0192,7.13,5.85
EMP0807,7.51,6.16
EMP0523,9.26,7.59
EMP0695,5.92,4.85
EMP0608,7.78,6.38
EMP0145,8.96,7.35
EMP0002,8.2,6.72
EMP0718,7.7,6.31
EMP0501,9.0,7.38
EMP0564,3.07,0.77
EMP0570,8.48,6.95
EMP0069,6.35,5.21
EMP0055,4.47,1.12
EMP0630,8.22,6.74
EMP0286,9.6,2.4
EMP0201,7.18,5.89
EMP0713,8.92,7.31
EMP0382,9.98,8.18
EMP0202,9.5,2.38
EMP0408,10.02,8.22
EMP0700,8.59,7.04
EMP0123,7.52,6.17
EMP0084,4.84,3.97
EMP0772,7.01,5.75
EMP0311,6.05,1.51
EMP0789,10.87,8.91
EMP0395,7.12,5.84
EMP0352,7.6,6.23
EMP0753,8.28,2.07
EMP0087,7.47,6.13
EMP0192,10.11,8.29
EMP0081,6.4,1.6
EMP0578,7.71,6.32
EMP0370,6.21,5.09
EMP0827,5.29,4.34
EMP0341,6.42,1.6
EMP0310,7.34,6.02
EMP0273,6.71,5.5
EMP0812,6.29,5.16
EMP0226,5.15,4.22
EMP0842,7.27,5.96
EMP0215,4.99,4.09
EMP0116,8.62,7.07
EMP0760,7.53,6.17
EMP0480,5.07,4.16
EMP0550,6.91,1.73
EMP0699,6.2,5.08
EMP0309,7.91,6.49
EMP0169,9.54,7.82
EMP0661,4.4,1.1
EMP0152,7.58,6.22
EMP0002,7.14,5.85
EMP0434,8.47,2.12
EMP0399,7.74,1.94
EMP0015,6.2,5.08
EMP0574,6.89,5.65
EMP0799,6.13,5.03
EMP0166,9.12,7.48
EMP0735,7.43,6.09
EMP0217,10.44,8.56
EMP0118,7.3,5.99
EMP0573,6.27,5.14
EMP0059,4.98,4.08
EMP0284,4.51,3.7
EMP0439,4.87,3.99
EMP0739,7.83,1.96
EMP0831,8.21,6.73
EMP0747,4.87,3.99
,8.83,7.24
EMP0237,6.63,1.66
EMP0591,7.63,6.26
EMP0710,9.98,8.18
EMP0343,8.83,7.24
EMP0279,6.97,5.72
EMP0314,5.97,4.9
EMP0836,3.96,3.25
EMP0362,6.25,5.12
EMP0476,7.06,5.79
EMP0051,5.82,4.77
EMP0691,7.19,5.9
EMP0627,7.52,1.88
EMP0727,7.04,1.76
EMP0723,6.36,5.22
EMP0674,7.67,6.29
EMP0224,8.11,6.65
EMP0107,5.66,4.64
EMP0532,9.66,7.92
EMP0251,7.24,5.94
EMP0581,7.43,6.09
EMP0403,8.53,6.99
EMP0826,7.77,6.37
EMP0398,8.93,7.32
EMP0687,7.86,6.45
EMP0309,6.42,5.26
EMP0034,7.98,6.54
EMP0092,5.57,1.39
,7.57,1.89
EMP0347,7.4 hrs,1.84
EMP0639,7.07,5.8
EMP0225,7.19,5.9
EMP0449,4.39,1.1
EMP0658,6.52,5.35
EMP0030,7.55,1.89
EMP0466,7.66,6.28
EMP0560,5.76,4.72
EMP0806,9.43,2.36
